,0,1,2,3
0,-12.311056,-0.88594687,15.384959,-1.0913335
1,1.2190605,2.5777364,3.5809715,-2.2531648
2,1.2340053,2.6040134,3.6345706,-2.1494112
3,1.2568176,2.624219,3.6123018,-2.1819134
4,1.1921959,2.566142,3.6229916,-2.225719
5,1.2256162,2.5955162,3.6174796,-2.2139993
6,1.2357154,2.6002765,3.6180992,-2.198494
7,1.2329335,2.57791,3.6250417,-2.1963859
8,1.2358265,2.5645266,3.5936036,-2.2557235
9,1.2423985,2.5710645,3.5747514,-2.2722106
10,1.2419047,2.568376,3.5736072,-2.2875242
11,1.2550683,2.5823894,3.6000147,-2.2354584
12,1.2466047,2.5704317,3.5912898,-2.2446585
13,1.2671763,2.5884795,3.6026554,-2.225793
14,1.2851118,2.6127725,3.5892,-2.2326221
15,1.2667403,2.6092825,3.5871813,-2.24938
16,1.2769208,2.6166854,3.5905364,-2.2412362
17,1.2632073,2.6107311,3.6085813,-2.2217197
18,1.2923948,2.6194034,3.6021397,-2.2015224
19,1.2687346,2.5977497,3.5911126,-2.2354589
20,1.2069954,2.569067,3.6079915,-2.2487068
21,1.1873164,2.5523415,3.5714226,-2.321372
22,1.1383986,2.5114079,3.5174465,-2.4363074
23,0.96075046,2.2795982,3.378843,-2.701127
24,0.6708648,2.069672,3.3946013,-2.8685594
25,0.4324866,1.8208712,3.3721948,-3.0875783
26,0.31876057,1.7347943,3.3012934,-3.265501
27,0.2795367,1.726416,3.315007,-3.2857833
28,0.38114327,1.8786148,3.3177154,-3.1893492
29,0.54865813,2.0824127,3.2856905,-3.074389
30,0.6157927,2.1549816,3.2469087,-3.0811582
31,0.8629309,2.334234,3.030109,-3.171052
32,-0.96923244,1.7829738,-0.019641846,-2.2359567
33,-0.055962265,0.9288189,1.6169045,-1.8128313
34,-0.4575265,1.4213603,0.0703755,-1.4535283
35,0.1754742,0.49294838,-0.7313961,-0.18942177
36,0.3284358,0.5003404,1.2049588,-0.9613043
37,0.8657711,1.2288235,1.8719302,-0.9417993
38,3.423275,0.38671142,1.6315168,1.3392322
39,0.77829045,-5.1233773,1.9588293,0.74436855
40,0.4973396,1.2374902,0.74618983,0.1557697
41,0.02000305,0.99768233,1.0869265,-0.10112381
42,-1.3050057,1.2542694,-0.6872972,1.1301262
43,-0.0679037,1.3514395,1.2459279,0.23626834
44,3.3606105,-2.298895,4.085376,2.7243168
45,-0.4388526,-2.2289767,1.7052566,1.5917039
46,1.8439441,-1.0854163,2.0321932,0.916952
47,-1.3051594,0.7628075,-0.57958186,0.5139316
48,-0.38572598,1.4546853,1.5576727,0.66876054
49,-0.9793974,0.5993077,-0.31364265,-0.026019096
50,-0.6737753,1.2487953,-0.23638713,-0.9648608
51,0.24855365,0.824892,0.46967915,-0.17922795
52,0.40548286,0.83381283,0.46493024,-0.5221069
53,-0.24498406,0.47628587,0.9881995,-0.7538756
54,-0.70511734,0.73029476,-0.2546688,-0.3662001
55,-0.6008754,-5.072817,1.3956829,-3.2582693
56,-1.0695688,0.66827554,-0.51690924,-0.4315318
57,-0.5771518,0.47846827,0.019159988,-0.8452066
58,-0.44745427,1.2728604,-0.35299465,-1.3456236
59,0.42880303,0.8120025,0.8606068,-0.96071506
60,3.3860435,2.2047133,0.18758494,1.4036155
61,3.4011917,2.4741378,0.89638865,1.0661068
62,3.45221,2.269524,0.13941036,1.5720687
63,-0.14349529,-0.9424101,-2.2141106,2.6683547
64,-1.2811296,1.3099025,-0.16022918,-0.38626778
65,2.6605554,0.16496223,1.6876712,2.6085
66,0.8453095,-5.173915,2.7493472,2.686437
67,-0.4662813,1.0254093,-0.41940472,-0.8492073
68,-0.37363023,1.337657,-0.5292057,-0.55173993
69,-0.24174115,1.2665547,-0.48207173,-0.7550533
70,-0.7838402,0.53562105,-0.64270425,-0.12613785
71,-0.71515614,0.34264767,-0.56520927,-0.40231657
72,-0.5193795,0.91835535,-0.10333145,-1.6212796
73,-0.57222164,0.88884413,-0.09788862,-1.6778203
74,-0.68947965,0.9097499,-0.016086772,-1.7328995
75,-0.7763109,0.778407,0.1719375,-1.7227479
76,-1.0685264,0.71458226,0.54831254,-1.7696596
77,-1.0407923,0.70836085,0.5903814,-1.6886333
78,-0.6613825,0.6911855,1.7069324,-2.1380706
79,-0.5642872,0.63794434,1.6587502,-2.0940266
80,-0.84937835,0.52585274,1.8076495,-2.0445952
81,-0.9929615,0.39619565,1.9370939,-2.123251
82,-0.9440439,0.4590248,1.9265268,-2.1805139
83,-1.0360748,0.4588829,2.0250857,-2.1849427
84,-1.2357109,1.4229678,2.5547836,-2.1858997
85,-1.2215911,1.365345,2.5988917,-2.2849894
86,-0.8366147,1.3337777,4.08997,-3.0272818
87,-0.5814853,0.28567725,-1.1761796,-3.395031
88,-1.1616769,0.2651492,2.236325,-2.0878139
89,-1.1422,0.3212027,2.213708,-2.067412
90,-0.98676705,0.24759606,1.9499893,-2.2040844
91,-0.70918894,0.20297629,1.4501387,-2.2130065
92,-0.538369,1.3575871,3.788877,-3.3021717
93,-0.3837908,1.4893646,3.825718,-3.1496139
94,-0.54719424,0.36830577,1.4700933,-2.172659
95,-0.86231184,0.6935816,2.2875872,-2.6736917
96,-0.5303956,1.3899088,3.8060625,-3.2718396
97,-0.55841815,1.3684833,3.8130739,-3.3051682
98,-0.74309903,1.2399714,3.8726287,-3.3497672
99,-1.1211007,0.36811954,2.1238933,-2.196713
100,-1.562679,1.1491444,2.6865585,-2.4049397
101,-1.1576395,0.45648205,2.6673894,-2.882928
102,-0.9533253,0.2097638,1.8226752,-2.214159
103,-0.91324735,0.23282391,1.7524147,-2.2133245
104,-0.90708673,0.22422409,1.8006811,-2.2081418
105,-0.9375533,0.21487406,1.8484534,-2.2091126
106,-1.2400589,0.340214,2.8241994,-2.7674289
107,-0.9452863,0.2307556,2.0971787,-2.1865077
108,-1.0688814,0.18002024,2.158862,-2.060729
109,-1.2190994,0.23187828,2.3612173,-1.9563924
110,-1.4764202,0.24559519,2.6935275,-1.7259477
111,-1.4892713,0.3001015,2.7257836,-1.645702
112,-1.3308386,0.34646678,2.6056995,-1.6423675
113,-1.4113575,0.28287113,2.7112567,-1.6955839
114,-1.4380013,0.26762098,2.7752168,-1.8366925
115,-1.4193554,0.2925413,2.801827,-1.802374
116,-1.5624079,0.29500392,2.9752398,-1.7022322
117,-1.6071855,0.22897345,2.962512,-1.7816819
118,-1.4975336,0.28381026,2.820421,-1.794628
119,-1.2660693,0.1853179,2.4139051,-1.9212164
120,-1.10825,0.25768954,2.1819642,-2.0715146
121,-0.30889744,1.6900278,3.892955,-2.974895
122,-0.8967428,0.5862539,0.5726372,-1.8001751
123,-0.70215505,-0.23957026,1.3186662,-1.4834915
124,-0.4077779,0.2979915,1.3857576,-1.5402755
125,-0.46765786,0.60904175,0.34172297,-1.4494601
126,0.5281075,-6.0240245,3.0830367,8.261919
127,0.890606,1.0152514,-1.1850632,2.0111356
128,2.3625393,-0.41240048,1.9033738,1.2070616
129,3.2735376,1.732533,0.14204505,0.4950356
130,3.6990495,1.9378979,0.032499805,1.9133873
131,2.6657472,2.041645,-0.15846068,1.7214345
132,4.6491423,2.7771368,0.35480228,2.6036448
133,4.4483485,-0.30045676,-0.16199455,5.917863
134,0.8069227,-0.18541217,-2.4145238,3.3938851
135,4.031931,0.32278737,1.5958896,3.1548104
136,-0.03187087,1.4210547,-0.49812087,0.87586963
137,0.1838727,1.3079528,-0.63466954,0.64451957
138,0.20399998,1.1494672,-0.6964296,0.3378662
139,0.248525,1.3489403,-0.752432,0.9404557
140,0.3555011,1.4958103,-0.47451732,0.73385346
141,0.16405296,1.6511378,-0.12510493,1.2181381
142,0.6674448,1.5346425,-0.43603078,0.63540196
143,-1.40581,1.1468983,-1.0346583,0.67070055
144,0.14752227,1.3819301,-0.410495,0.90253794
145,0.29996917,0.94857895,0.54211414,1.2820766
146,-0.11766723,1.4917183,-0.31668574,1.3145196
147,-0.2766707,1.4042205,-0.28521085,1.2551262
148,-0.026120394,1.3332819,-0.35281774,0.93822277
149,-1.248949,-1.357521,-0.58358645,-2.0569558
150,1.9174904,-4.0607285,1.10307,2.24961
151,2.0145726,1.8868741,0.82681465,0.28341776
152,1.91318,2.3202643,1.4543635,-0.33840358
153,5.800384,0.99457,1.7134445,4.5979166
154,4.437024,0.3132597,1.7384428,3.1507826
155,4.5358524,0.2562547,1.6138134,3.2917132
156,3.2464714,1.5217805,-0.24242225,3.5743108
157,4.1090274,0.07687876,2.524728,3.023109
158,-0.3658051,1.5288086,-0.3538219,0.54390967
159,-0.36715794,1.8290405,-0.20979226,0.13860011
160,0.818046,-0.90085626,0.4547645,-1.0737165
161,-0.63301766,0.9235561,-1.1973464,0.5252057
162,0.2902111,1.4111364,-1.0966532,-0.64947534
163,0.013720602,1.3464992,-0.94897234,-0.92937934
164,0.034640223,1.2996702,-0.91150784,-1.215082
165,-0.10996395,1.2246027,-0.8072969,-1.4579824
166,0.8169222,1.3531076,0.09135514,-1.9881798
167,0.66705215,1.195176,0.04716429,-2.0489793
168,0.6875916,1.0976609,0.17508861,-2.0231266
169,0.8011137,1.1289291,0.05546227,-1.8776642
170,0.6763687,1.116196,0.2203528,-1.9571127
171,-0.041952074,1.9921998,0.97282624,-2.3576918
172,-0.33571696,0.83094645,1.0122062,-2.1404815
173,0.22701162,0.828555,0.16929679,-2.1351886
174,0.4926272,2.1020038,2.947693,-3.4738479
175,0.27010298,1.9172982,2.9792962,-3.5910196
176,0.16127478,0.736698,0.19442657,-2.2320862
177,-0.15447643,1.2939191,1.4638432,-3.1701112
178,-1.3478868,0.39712322,0.36948887,-2.3007994
179,-0.72311383,1.2078829,1.1971796,-3.198679
180,-1.4407085,1.2248335,0.38594508,-2.4883966
181,-0.15185821,0.49514437,0.45213553,-2.4730263
182,-0.679142,0.6040825,0.049274795,-2.2969575
183,-1.5283945,1.1888733,0.46645686,-2.5904365
184,-0.87709796,1.144722,1.3429735,-3.389656
185,-0.83681726,0.47600684,1.4673848,-2.5638647
186,-0.59897155,1.0728896,1.6967062,-3.3286533
187,1.7467501,-0.11529893,4.171481,-1.8805636
188,1.903417,-0.62818253,3.1468394,-0.5116466
189,2.2086997,-0.68981946,3.1763153,0.11137855
190,3.2653303,0.21568343,1.0163649,0.68625635
191,1.9560765,0.19079769,-2.1574392,1.2743415
192,4.0909243,0.22249103,1.2578049,2.4793234
193,4.488826,0.9452807,1.1969423,2.1422808
194,3.8499198,0.437555,1.4307262,3.148685
195,3.4831166,-5.9447527,4.1544724,3.3617282
196,-0.501147,1.4191608,-0.71536684,1.3731508
197,6.663627,1.5556213,0.6361933,6.2366586
198,-0.12707296,1.3096259,-0.8369553,1.2063917
199,0.31390747,1.4850931,-0.70322883,1.0266385
200,0.47263485,1.4573886,-0.6748167,0.9491549
201,0.41997245,1.2150118,-0.8293934,0.6432173
202,4.5979214,0.40815932,1.654373,3.3245392
203,0.32867467,1.4632735,-0.52132285,0.89205897
204,0.50807875,1.425056,-0.4848242,0.71027577
205,0.32415777,2.0651941,-0.19183162,2.2104185
206,3.9017959,-1.4548943,-4.852624,7.07258
207,-0.49444485,1.8032305,-0.4887698,1.8270378
208,-0.40247124,1.5420163,-0.7624763,1.9093714
209,-0.6734613,1.4877737,-0.7939477,1.8795942
210,3.416017,-4.844186,3.3971863,2.118741
211,1.4909244,-4.452695,0.88479686,2.982078
212,3.9657183,0.36267936,1.3902904,2.9796772
213,0.75046957,0.6678791,0.31611264,1.0112684
214,1.6432426,1.9102261,0.85316,-0.76115966
215,1.6287016,1.9220093,0.88706326,-0.66754377
216,0.47200483,0.6804787,-1.1865652,0.054496706
217,0.8821035,1.581602,-1.472903,-0.69671917
218,0.89234424,1.4562297,-1.5688024,-0.87841654
219,0.8425749,1.3742841,-1.5686995,-0.91739666
220,0.8026485,1.3057814,-1.5963192,-1.0129789
221,0.7776622,1.2604835,-1.5613437,-1.0412935
222,0.9116865,2.4017415,1.2531322,-2.2335353
223,0.96033853,2.4471264,1.214675,-2.2144914
224,1.1501575,2.435553,1.266396,-2.2355404
225,0.9365493,2.4261723,1.2522256,-2.2168574
226,1.0099865,2.4506965,1.2623506,-2.1808124
227,1.0554441,2.4683516,1.2666175,-2.2131333
228,1.0195996,2.4247417,1.2613137,-2.234674
229,1.035016,2.423401,1.2984253,-2.2317805
230,1.0231459,2.4149594,1.273549,-2.258008
231,1.0244706,2.3971558,1.2767233,-2.257172
232,1.0903494,2.441052,1.297525,-2.2244525
233,1.1784542,2.4813294,1.3154924,-2.171586
234,1.2261744,2.5134566,1.3055909,-2.1485348
235,1.2495834,2.5114975,1.3002065,-2.0963364
236,1.3001094,2.5483146,1.2935485,-2.0729327
237,1.2974983,2.5267692,1.2612549,-2.0830827
238,2.4538817,3.136795,2.4792564,-2.7023892
239,2.480596,3.146007,2.47797,-2.7005248
240,2.454031,3.120665,2.4559193,-2.729926
241,2.3624067,3.071797,2.4504187,-2.7771044
242,1.2397481,2.4823685,1.3000389,-2.129376
243,1.2322099,2.4733214,1.2969882,-2.1556263
244,2.3051648,3.0036764,2.4808757,-2.8027668
245,1.1600851,2.3990903,1.3040098,-2.1836247
246,1.1194857,2.3761063,1.3180568,-2.1835375
247,2.1908536,2.914835,2.4945102,-2.8579335
248,2.042004,2.8297768,2.47062,-2.960486
