,0,1,2,3
0,-1.8253583,-2.1282089,0.0776487,-3.6116412
1,-0.5913957,-0.5389573,-0.4707707,-0.323108
2,-0.60258436,-0.5408693,-0.45289212,-0.33326903
3,-0.60631424,-0.54369944,-0.458838,-0.32758072
4,-0.5910126,-0.5388125,-0.46308732,-0.33008316
5,-0.59855545,-0.541442,-0.46185723,-0.32826784
6,-0.6003209,-0.5410824,-0.45930246,-0.32830063
7,-0.59588104,-0.53652066,-0.45492202,-0.32819876
8,-0.59108424,-0.5350679,-0.46273386,-0.3203921
9,-0.5905927,-0.5361768,-0.4683619,-0.32024702
10,-0.5889472,-0.5358245,-0.47044685,-0.32091376
11,-0.5961324,-0.5362349,-0.45951015,-0.32084432
12,-0.59289765,-0.5349284,-0.4611609,-0.3196155
13,-0.59819424,-0.53607297,-0.45710295,-0.32079324
14,-0.6035228,-0.54000026,-0.4605031,-0.31927684
15,-0.60024214,-0.5409114,-0.46644688,-0.3219696
16,-0.6030489,-0.54148084,-0.46400398,-0.32128182
17,-0.60285366,-0.5410864,-0.46006548,-0.3237292
18,-0.6061264,-0.53955764,-0.45552018,-0.3212122
19,-0.5996756,-0.5383706,-0.46091115,-0.31972483
20,-0.59128803,-0.5385274,-0.46557537,-0.32555023
21,-0.5792865,-0.53709316,-0.48422077,-0.32775244
22,-0.5540295,-0.53229076,-0.5166828,-0.33643416
23,-0.47391617,-0.50354177,-0.5720859,-0.34062156
24,-0.41505808,-0.49193788,-0.6014708,-0.35259023
25,-0.34776372,-0.4694234,-0.6270378,-0.35524383
26,-0.30462855,-0.4615577,-0.67613935,-0.36929777
27,-0.30051488,-0.4636004,-0.68210775,-0.37404773
28,-0.33304763,-0.4800815,-0.6853052,-0.38129863
29,-0.37336278,-0.49855977,-0.69443554,-0.38880947
30,-0.38084292,-0.50370663,-0.7109417,-0.39457902
31,-0.38397747,-0.5060882,-0.77784055,-0.40653035
32,0.12866929,-0.42609978,-1.5441189,-0.81803334
33,-0.0560873,-0.28018832,-0.7690586,-0.22367355
34,0.08935562,-0.32584825,-1.2789688,-0.5087911
35,0.20059012,-0.074583195,-0.9733666,-0.15381655
36,-0.055079997,-0.16495493,-0.5430274,-0.04766813
37,-0.27642024,-0.271161,-0.43815708,-0.086366326
38,-0.3327511,0.05199239,0.497719,-0.40810266
39,-0.3969009,0.0698423,0.7707946,-0.641333
40,-0.16336694,-0.24257746,-0.65773726,-0.09571415
41,-0.12717864,-0.2576331,-0.6428826,-0.13007417
42,0.06800428,-0.3160804,-1.1779945,-0.4171876
43,-0.21250743,-0.33596158,-0.652778,-0.1963906
44,-0.7344623,0.044605486,1.5283399,-1.2659818
45,-0.2686537,-0.006459646,0.32285655,-0.4174445
46,-0.25301135,0.08059979,0.44788194,-0.37506917
47,0.15190598,-0.25306544,-1.1237457,-0.3952109
48,-0.2837931,-0.4042195,-0.5850526,-0.29391965
49,0.16912378,-0.21460584,-1.0683824,-0.33547845
50,0.12581179,-0.30027467,-1.2702634,-0.5100806
51,-0.03323026,-0.1848289,-0.7278979,-0.08558491
52,-0.021232128,-0.17659384,-0.7502905,-0.09010717
53,0.014511108,-0.19200549,-0.68844175,-0.13245359
54,0.15908524,-0.21646342,-1.0943651,-0.34314004
55,-0.06263769,0.09483253,0.020651042,-0.022787571
56,0.21074498,-0.22953182,-1.1824198,-0.46046248
57,0.18177952,-0.18380857,-1.0282712,-0.28903487
58,0.14573205,-0.28487653,-1.3064873,-0.5333606
59,-0.045988172,-0.19186139,-0.6999711,-0.10105845
60,-0.3398049,-0.028184243,-0.13404426,-0.055089414
61,-0.4454046,-0.07185013,-0.040016294,-0.058023363
62,-0.35470355,-0.031818263,-0.11685616,-0.070270896
63,0.24033244,0.16490693,-0.5405713,0.16233288
64,0.114949256,-0.35114616,-1.2956855,-0.572487
65,-0.34613436,0.07363772,0.6568659,-0.54739094
66,-0.59578747,0.054973118,1.21713,-1.0093675
67,0.15190765,-0.2433638,-1.2077053,-0.43372986
68,0.102273345,-0.27617982,-1.2461171,-0.44537517
69,0.118854284,-0.25299627,-1.2277389,-0.42427686
70,0.20403178,-0.18016806,-1.0946643,-0.34581092
71,0.2219287,-0.15678984,-1.0650444,-0.31913695
72,0.18071005,-0.25106066,-1.228051,-0.48263434
73,0.19012386,-0.25150746,-1.2353725,-0.49665633
74,0.18974522,-0.26694298,-1.2501874,-0.5226326
75,0.19210008,-0.2597474,-1.2008617,-0.48760083
76,0.15971544,-0.29708993,-1.1760752,-0.48392633
77,0.15149987,-0.29374617,-1.1534061,-0.45870855
78,0.0038240552,-0.30925378,-0.8629312,-0.32031533
79,0.0041514784,-0.2916995,-0.83271694,-0.29505494
80,-0.02435416,-0.3209804,-0.8232746,-0.30257162
81,-0.04587981,-0.3348362,-0.8013325,-0.29963437
82,-0.03794597,-0.33452916,-0.8177115,-0.30977592
83,-0.051743567,-0.3492609,-0.81399024,-0.3159409
84,-0.10068208,-0.47949708,-0.97391933,-0.47013512
85,-0.095100105,-0.4720086,-0.9584044,-0.46326014
86,-0.26426142,-0.50570875,-0.61839104,-0.48742953
87,0.46428722,-0.13144526,-1.5221508,-0.7967386
88,-0.100200415,-0.3570502,-0.7235996,-0.2723731
